Po0tal Code,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,0ep,Oct,Nov,Dec,X,Y
118578,0,0,0,0,0,0,0,0,0,0,0,0,22641.7655,29049.7426
118580,0,0,0,0,0,0,0,0,0,0,0,0,22633.8032,29053.7189
118582,0,0,0,0,0,0,0,0,0,0,0,0,22625.6578,29056.2324
118584,0,0,0,0,0,0,0,0,0,0,0,0,22615.0108,29058.9952
118572,679.5,796.1,734.1,883.5,"1,019.70",891.2,945.1,"1,005.70",782.7,918,"1,101.00","1,004.90",22862.2915,29078.5942
89110,0,0,0,0,0,0,0,0,0,0,0,0,28922.3352,29082.0538
68803,365,487.9,394.7,455.2,556.3,486.5,516.1,539,574.8,573.5,520.8,538,29918.0101,29083.4584
117629,126.8,378,456.5,465.8,491.4,463.6,679.8,639,651.3,677.6,798.3,735.6,22603.3784,29084.0755
69047,284.5,383.6,451.8,406.4,460.5,457,505.9,519.9,429.9,501.2,555.2,491.1,29559.3112,29095.0919
119522,"1,338.10","1,324.30",965.3,"1,371.10","1,303.50","1,258.60","1,110.60","1,214.90","1,027.60","1,203.10","1,490.50","1,294.90",23586.0381,29095.9514
89114,0,0,0,0,0,0,0,0,0,0,0,0,28924.3776,29101.1021
118579,-,-,-,-,-,-,-,-,0,4.9,18.2,37.8,22706.6893,29104.7079
89116,0,0,0,0,0,0,0,0,0,0,0,0,28921.14,29111.2816
119521,"1,009.60","1,220.80","2,361.70","1,425.90","1,768.20","1,419.60","1,395.60","1,510.90","1,019.20","1,381.60","1,715.00","1,562.50",23509.7853,29117.6457
18980,546.2,580.5,502.7,557.6,778.6,627.4,691.4,723.6,608.1,654.7,735.2,677.5,30411.5428,29120.0497
119519,951.2,"1,107.30","1,064.50","1,136.90","1,366.50","1,104.00","1,095.40","1,242.00",965.4,"1,225.10","1,335.60","1,267.00",23412.6409,29125.7608
118136,102.4,120.3,139.2,145.4,206.9,191.5,229.1,241.8,232.1,225,239.9,232.4,22723.764,29139.707
118454,"1,093.20","1,284.20","1,096.50","1,272.30","1,722.00","1,448.80","1,098.50","1,203.60","1,122.00","1,461.20","2,821.80","2,086.50",23549.6028,29156.8472
88764,401.9,275.3,331.7,352.3,388.4,456.7,389.7,455.2,451.7,397,399.7,384.2,28783.5054,29166.4261
118604,"1,327.50","1,597.80","1,529.50","1,671.50","2,314.50","1,929.00","1,863.00","2,056.80","1,964.50","2,109.50","2,152.00","2,130.80",22557.1312,29178.518
119520,"1,080.70","1,174.40","1,094.40","1,165.00","1,223.20","1,207.70","1,049.60","1,088.90","1,144.70","1,210.30","1,490.00","1,440.30",23433.5866,29184.9095
